"PERÚ: POBLACIÓN TOTAL PROYECTADA AL 30 DE JUNIO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, 2018 - 2022",,,,,,
UBIGEO,"DEPARTAMENTO, PROVINCIA Y DISTRITO",2018,2019,2020,2021,2022
030706,MICAELA BASTIDAS,  959,  933,  905,  872,  835
030707,PATAYPAMPA,  832,  814,  794,  769,  742
030708,PROGRESO, 3 156, 3 194, 3 222, 3 235, 3 241
030709,SAN ANTONIO,  285,  278,  271,  262,  252
030710,SANTA ROSA,  587,  576,  562,  545,  527
030711,TURPAY,  664,  652,  640,  622,  603
030712,VILCABAMBA, 1 314, 1 321, 1 324, 1 327, 1 326
030713,VIRUNDO,  693,  668,  643,  614,  583
030714,CURASCO, 1 282, 1 263, 1 241, 1 210, 1 173
,,,,,,
040000,AREQUIPA,1 428 708,1 464 638,1 497 438,1 526 669,1 553 994
040100,AREQUIPA,1 114 721,1 146 418,1 175 765,1 201 896,1 226 404
040101,AREQUIPA, 55 496, 55 033, 54 400, 54 412, 54 396
040102,ALTO SELVA ALEGRE, 85 790, 87 291, 88 537, 90 180, 91 755
040103,CAYMA, 97 980, 100 686, 103 140, 105 760, 108 314
040104,CERRO COLORADO , 206 393, 217 894, 229 142, 235 305, 241 328
040105,CHARACATO, 14 142, 15 190, 16 263, 16 987, 17 706
040106,CHIGUATA, 3 039, 3 080, 3 112, 3 171, 3 227
040107,JACOBO HUNTER, 50 879, 51 442, 51 848, 52 729, 53 543
040108,LA JOYA, 35 441, 36 807, 38 103, 39 668, 41 181
040109,MARIANO MELGAR, 62 295, 63 460, 64 442, 65 809, 67 014
040110,MIRAFLORES, 61 362, 62 586, 63 632, 65 064, 66 339
040111,MOLLEBAYA, 5 426, 6 172, 6 998, 7 363, 7 727
040112,PAUCARPATA, 131 837, 133 175, 134 099, 135 781, 137 061
040113,POCSI,  469,  458,  447,  442,  437
040114,POLOBAYA,  873,  836,  797,  771,  746
040115,QUEQUEÑA, 5 290, 6 085, 6 977, 7 324, 7 669
040116,SABANDÍA, 4 397, 4 476, 4 544, 4 648, 4 745
040117,SACHACA, 25 237, 26 163, 27 038, 28 101, 29 124
040118,SAN JUAN DE SIGUAS,  640,  601,  561,  546,  530
040119,SAN JUAN DE TARUCANI, 1 404, 1 353, 1 299, 1 265, 1 233
040120,SANTA ISABEL DE SIGUAS,  720,  686,  650,  635,  618
040121,SANTA RITA DE SIGUAS, 6 885, 7 187, 7 478, 7 821, 8 156
040122,SOCABAYA, 77 115, 79 147, 80 977, 83 367, 85 605
040123,TIABAYA, 16 622, 16 848, 17 023, 17 297, 17 520
040124,UCHUMAYO, 15 153, 15 689, 16 195, 16 812, 17 404
040125,VITOR  , 4 151, 4 332, 4 506, 4 713, 4 915
040126,YANAHUARA, 25 766, 26 099, 26 354, 26 755, 27 081
040127,YARABAMBA, 1 433, 1 482, 1 528, 1 584, 1 638
040128,YURA, 36 865, 39 899, 43 033, 44 322, 45 585
040129,JOSÉ LUIS BUSTAMANTE Y RIVERO, 81 621, 82 261, 82 642, 83 264, 83 807
,,,,,,Continúa…
"PERÚ: POBLACIÓN TOTAL PROYECTADA AL 30 DE JUNIO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, 2018 - 2022",,,,,,
UBIGEO,"DEPARTAMENTO, PROVINCIA Y DISTRITO",2018,2019,2020,2021,2022
,,,,,,
,,,,,,
040200,CAMANÁ, 59 939, 60 900, 61 708, 62 433, 63 098
040201,CAMANÁ, 12 995, 12 855, 12 677, 12 527, 12 379
040202,JOSÉ MARÍA QUÍMPER, 4 568, 4 645, 4 710, 4 761, 4 804
040203,MARIANO NICOLÁS VALCÁRCEL, 7 579, 8 014, 8 448, 8 863, 9 273
040204,MARISCAL CÁCERES, 6 273, 6 371, 6 450, 6 512, 6 562
040205,NICOLÁS DE PIÉROLA, 7 423, 7 583, 7 723, 7 843, 7 949
040206,OCOÑA, 4 110, 4 082, 4 040, 4 005, 3 970
040207,QUILCA, 1 021, 1 048, 1 072, 1 093, 1 115
040208,SAMUEL PASTOR, 15 970, 16 302, 16 588, 16 829, 17 046
040300,CARAVELÍ, 42 127, 42 961, 43 690, 44 283, 44 803
040301,CARAVELÍ, 4 157, 4 198, 4 227, 4 284, 4 332
040302,ACARI, 4 976, 5 081, 5 172, 5 283, 5 381
040303,ATICO, 5 641, 5 809, 5 962, 6 127, 6 271
040304,ATIQUIPA,  511,  493,  475,  466,  455
040305,BELLA UNIÓN, 3 147, 3 065, 2 978, 2 935, 2 895
040306,CAHUACHO,  646,  628,  609,  599,  591
040307,CHALA, 9 338, 9 862, 10 368, 10 605, 10 832
040308,CHAPARRA, 3 653, 3 639, 3 613, 3 567, 3 516
040309,HUANUHUANU, 3 080, 3 144, 3 199, 3 268, 3 327
040310,JAQUI, 1 592, 1 585, 1 576, 1 581, 1 585
040311,LOMAS, 1 511, 1 548, 1 580, 1 603, 1 625
040312,QUICACHA, 1 899, 1 903, 1 902, 1 905, 1 906
040313,YAUCA, 1 976, 2 006, 2 029, 2 060, 2 087
040400,CASTILLA, 35 129, 34 984, 34 743, 34 564, 34 389
040401,APLAO, 8 932, 8 961, 8 964, 8 994, 9 023
040402,ANDAGUA, 1 049, 1 031, 1 010,  993,  977
040403,AYO,  246,  239,  230,  223,  216
040404,CHACHAS, 1 682, 1 664, 1 643, 1 611, 1 579
040405,CHILCAYMARCA,  999, 1 018, 1 034, 1 053, 1 073
040406,CHOCO,  721,  694,  666,  641,  618
040407,HUANCARQUI, 1 559, 1 574, 1 586, 1 602, 1 618
040408,MACHAGUAY,  510,  484,  457,  433,  408
040409,ORCOPAMPA, 8 501, 8 542, 8 557, 8 612, 8 667
040410,PAMPACOLCA, 2 024, 1 944, 1 862, 1 788, 1 717
040411,TIPAN,  450,  440,  429,  420,  411
040412,UÑÓN,  210,  206,  202,  200,  197
040413,URACA, 6 666, 6 638, 6 590, 6 510, 6 429
040414,VIRACO, 1 580, 1 549, 1 513, 1 484, 1 456
040500,CAYLLOMA, 92 761, 95 211, 97 458, 99 437, 101 277
040501,CHIVAY, 5 991, 5 948, 5 889, 5 877, 5 854
040502,ACHOMA,  861,  840,  817,  817,  815
040503,CABANACONDE, 2 199, 2 149, 2 094, 2 077, 2 059
040504,CALLALLI, 1 497, 1 427, 1 357, 1 334, 1 307
040505,CAYLLOMA, 3 739, 3 718, 3 688, 3 677, 3 659
040506,COPORAQUE, 1 165, 1 147, 1 126, 1 125, 1 121
040507,HUAMBO,  693,  678,  660,  655,  649
040508,HUANCA, 1 041, 1 003,  967,  966,  962
040509,ICHUPAMPA,  575,  574,  572,  572,  571
040510,LARI,  914,  881,  847,  830,  813
040511,LLUTA,  743,  723,  703,  695,  687
,,,,,,Continúa…
"PERÚ: POBLACIÓN TOTAL PROYECTADA AL 30 DE JUNIO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, 2018 - 2022",,,,,,
UBIGEO,"DEPARTAMENTO, PROVINCIA Y DISTRITO",2018,2019,2020,2021,2022
,,,,,,
,,,,,,
040512,MACA,  719,  704,  687,  683,  677
040513,MADRIGAL,  666,  664,  660,  659,  656
040514,SAN ANTONIO DE CHUCA ,  924,  901,  878,  867,  855
040515,SIBAYO,  695,  687,  677,  677,  675
040516,TAPAY,  780,  799,  817,  844,  870
040517,TISCO, 1 529, 1 507, 1 483, 1 483, 1 482
040518,TUTI,  636,  617,  598,  590,  581
040519,YANQUE, 2 182, 2 173, 2 158, 2 150, 2 138
040520,MAJES, 65 212, 68 071, 70 780, 72 859, 74 846
040600,CONDESUYOS, 16 720, 16 595, 16 426, 16 294, 16 167
040601,CHUQUIBAMBA, 3 392, 3 380, 3 361, 3 347, 3 336
040602,ANDARAY,  684,  685,  685,  678,  671
040603,CAYARANI, 3 328, 3 307, 3 275, 3 263, 3 251
040604,CHICHAS,  693,  684,  673,  663,  653
040605,IRAY,  614,  607,  599,  591,  584
040606,RÍO GRANDE, 3 440, 3 450, 3 451, 3 456, 3 461
040607,SALAMANCA,  479,  448,  419,  396,  371
040608,YANAQUIHUA, 4 090, 4 034, 3 963, 3 900, 3 840
040700,ISLAY, 54 162, 54 580, 54 851, 55 120, 55 360
040701,MOLLENDO, 25 937, 26 230, 26 453, 26 658, 26 843
040702,COCACHACRA, 8 474, 8 430, 8 363, 8 321, 8 284
040703,DEAN VALDIVIA, 6 961, 7 055, 7 129, 7 196, 7 255
040704,ISLAY, 5 114, 5 165, 5 202, 5 237, 5 269
040705,MEJÍA, 1 217, 1 230, 1 240, 1 250, 1 261
040706,PUNTA DE BOMBÓN, 6 459, 6 470, 6 464, 6 458, 6 448
040800,LA UNIÓN, 13 149, 12 989, 12 797, 12 642, 12 496
040801,COTAHUASI, 2 981, 2 984, 2 981, 2 981, 2 982
040802,ALCA, 1 892, 1 875, 1 851, 1 831, 1 813
040803,CHARCANA,  594,  591,  586,  582,  579
040804,HUAYNACOTAS, 1 943, 1 907, 1 867, 1 832, 1 798
040805,PAMPAMARCA, 1 148, 1 129, 1 106, 1 087, 1 068
040806,PUYCA, 2 417, 2 384, 2 346, 2 314, 2 283
040807,QUECHUALLA,  277,  278,  278,  279,  279
040808,SAYLA,  326,  313,  300,  289,  279
040809,TAURÍA,  317,  315,  313,  311,  309
040810,TOMEPAMPA,  689,  675,  658,  643,  630
040811,TORO,  565,  538,  511,  493,  476
,,,,,,
050000,AYACUCHO, 659 061, 664 494, 668 213, 669 979, 670 579
050100,HUAMANGA, 302 054, 310 318, 317 801, 321 995, 324 901
050101,AYACUCHO   , 105 944, 108 794, 111 370, 112 794, 113 761
050102,ACOCRO, 8 308, 8 573, 8 818, 8 974, 9 095
050103,ACOS VINCHOS, 4 714, 4 844, 4 964, 5 030, 5 079
050104,CARMEN ALTO , 30 156, 30 973, 31 712, 32 121, 32 402
050105,CHIARA, 6 318, 6 512, 6 691, 6 802, 6 886
050106,OCROS   , 5 848, 6 018, 6 172, 6 263, 6 328
050107,PACAYCASA, 3 380, 3 477, 3 565, 3 617, 3 654
050108,QUINUA, 5 518, 5 676, 5 821, 5 905, 5 966
050109,SAN JOSÉ DE TICLLAS, 1 515, 1 558, 1 596, 1 620, 1 635
050110,SAN JUAN BAUTISTA, 51 455, 52 764, 53 934, 54 544, 54 933
050111,SANTIAGO DE PISCHA, 1 552, 1 598, 1 639, 1 662, 1 680
050112,SOCOS, 6 486, 6 674, 6 846, 6 947, 7 022
,,,,,,Continúa…
"PERÚ: POBLACIÓN TOTAL PROYECTADA AL 30 DE JUNIO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, 2018 - 2022",,,,,,
UBIGEO,"DEPARTAMENTO, PROVINCIA Y DISTRITO",2018,2019,2020,2021,2022
,,,,,,
,,,,,,
050113,TAMBILLO, 5 655, 5 835, 6 001, 6 106, 6 187
050114,VINCHOS, 15 293, 15 780, 16 233, 16 519, 16 743
050115,JESÚS NAZARENO, 19 955, 20 517, 21 028, 21 321, 21 530
050116,ANDRÉS AVELINO CÁCERES DORREGARAY   , 29 957, 30 725, 31 411, 31 770, 32 000
050200,CANGALLO, 32 929, 32 750, 32 482, 32 157, 31 822
050201,CANGALLO, 6 001, 5 929, 5 842, 5 742, 5 638
050202,CHUSCHI, 9 015, 9 080, 9 119, 9 146, 9 181
050203,LOS MOROCHUCOS, 8 212, 8 227, 8 217, 8 188, 8 152
050204,MARÍA PARADO DE BELLIDO, 2 145, 2 088, 2 026, 1 963, 1 899
050205,PARAS, 4 404, 4 347, 4 279, 4 202, 4 122
050206,TOTOS, 3 152, 3 079, 2 999, 2 916, 2 830
050300,HUANCA SANCOS, 8 687, 8 525, 8 341, 8 214, 8 113
050301,SANCOS, 3 246, 3 217, 3 181, 3 156, 3 137
050302,CARAPO, 1 892, 1 836, 1 774, 1 731, 1 696
050303,SACSAMARCA, 1 380, 1 346, 1 308, 1 282, 1 262
050304,SANTIAGO DE LUCANAMARCA, 2 169, 2 126, 2 078, 2 045, 2 018
050400,HUANTA, 96 811, 97 144, 97 205, 97 759, 98 088
050401,HUANTA    , 42 245, 42 825, 43 266, 43 939, 44 491
050402,AYAHUANCO   , 1 216, 1 139, 1 072, 1 023,  981
050403,HUAMANGUILLA, 4 374, 4 287, 4 188, 4 113, 4 028
050404,IGUAIN, 2 859, 2 865, 2 861, 2 860, 2 857
050405,LURICOCHA, 6 078, 6 157, 6 217, 6 311, 6 389
050406,SANTILLANA  6/, 4 058, 3 985, 3 900, 3 623, 3 553
050407,SIVIA   , 11 953, 11 836, 11 685, 11 594, 11 474
050408,LLOCHEGUA   , 11 241, 11 371, 11 466, 11 622, 11 748
050409,CANAYRE  , 4 074, 4 233, 4 384, 4 515, 4 646
050410,UCHURACCAY   , 3 842, 3 763, 3 672, 3 605, 3 526
050411,PUCACOLPA  , 2 612, 2 453, 2 299, 2 167, 2 040
050412,CHACA   , 2 259, 2 230, 2 195, 2 172, 2 143
050413,PUTIS  6/,Creado 2021,Creado 2021,Creado 2021,  215,  212
050500,LA MAR, 76 706, 76 096, 75 277, 74 448, 73 649
050501,SAN MIGUEL  8/  9/, 11 298, 11 373, 11 410, 8 145, 8 191
050502,ANCO  3/, 8 471, 8 300, 8 105, 5 691, 5 545
050503,AYNA, 10 105, 10 067, 9 995, 9 932, 9 874
050504,CHILCAS, 1 705, 1 633, 1 558, 1 502, 1 447
050505,CHUNGUI  , 4 553, 4 505, 4 443, 4 379, 4 320
050506,LUIS CARRANZA, 1 353, 1 361, 1 365, 1 372, 1 380
050507,SANTA ROSA, 12 540, 12 633, 12 686, 12 728, 12 772
050508,TAMBO, 10 395, 9 850, 9 302, 8 733, 8 165
050509,SAMUGARI  7/, 10 664, 10 847, 10 997, 8 914, 9 020
050510,ANCHIHUAY  , 4 500, 4 429, 4 345, 4 255, 4 170
050511,ORONCOY  , 1 122, 1 098, 1 071, 1 049, 1 027
050512,UNIÓN PROGRESO  3/,Creado 2021,Creado 2021,Creado 2021, 2 203, 2 146
050513,RIO MAGDALENA 7/,Creado 2021,Creado 2021,Creado 2021, 2 214, 2 241
050514,NINABAMBA  8/,Creado 2021,Creado 2021,Creado 2021, 1 869, 1 880
050515,PATIBAMBA  9/,Creado 2021,Creado 2021,Creado 2021, 1 462, 1 471
050600,LUCANAS, 53 946, 52 957, 51 838, 51 052, 50 431
050601,PUQUIO, 14 557, 14 572, 14 535, 14 527, 14 517
050602,AUCARA, 2 908, 2 788, 2 665, 2 574, 2 503
050603,CABANA, 2 155, 2 068, 1 976, 1 909, 1 857
050604,CARMEN SALCEDO, 1 743, 1 637, 1 532, 1 453, 1 391
050605,CHAVIÑA, 2 322, 2 312, 2 296, 2 286, 2 279
050606,CHIPAO, 2 658, 2 551, 2 443, 2 363, 2 299
,,,,,,Continúa…
"PERÚ: POBLACIÓN TOTAL PROYECTADA AL 30 DE JUNIO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, 2018 - 2022",,,,,,
UBIGEO,"DEPARTAMENTO, PROVINCIA Y DISTRITO",2018,2019,2020,2021,2022
,,,,,,
,,,,,,
050607,HUAC-HUAS, 1 702, 1 627, 1 550, 1 493, 1 449
050608,LARAMATE, 1 723, 1 702, 1 676, 1 658, 1 645
050609,LEONCIO PRADO, 1 170, 1 133, 1 095, 1 067, 1 045
050610,LLAUTA,  948,  913,  877,  854,  832
050611,LUCANAS, 2 872, 2 790, 2 703, 2 640, 2 590
050612,OCAÑA, 2 420, 2 334, 2 244, 2 178, 2 127
050613,OTOCA, 2 013, 1 932, 1 848, 1 786, 1 738
050614,SAISA,  859,  854,  848,  844,  841
050615,SAN CRISTÓBAL, 1 855, 1 842, 1 823, 1 811, 1 802
050616,SAN JUAN, 1 028, 1 012,  994,  981,  971
050617,SAN PEDRO, 2 776, 2 722, 2 661, 2 618, 2 584
050618,SAN PEDRO DE PALCO,  983,  941,  898,  866,  841
050619,SANCOS, 5 008, 4 947, 4 869, 4 817, 4 776
050620,SANTA ANA DE HUAYCAHUACHO,  838,  846,  850,  854,  858
050621,SANTA LUCÍA, 1 408, 1 434, 1 455, 1 473, 1 486
050700,PARINACOCHAS, 29 337, 29 279, 29 139, 29 109, 29 015
050701,CORACORA, 13 871, 13 733, 13 549, 13 414, 13 240
050702,CHUMPI, 2 312, 2 248, 2 179, 2 117, 2 053
050703,CORONEL CASTAÑEDA, 1 829, 1 884, 1 934, 1 992, 2 045
050704,PACAPAUSA,  644,  599,  556,  520,  486
050705,PULLO, 6 757, 6 984, 7 191, 7 424, 7 641
050706,PUYUSCA, 2 179, 2 154, 2 123, 2 098, 2 069
050707,SAN FRANCISCO DE RAVACAYCO,  545,  532,  518,  506,  493
050708,UPAHUACHO, 1 200, 1 145, 1 089, 1 038,  988
050800,PÁUCAR DEL SARA SARA, 10 097, 10 017, 9 909, 9 800, 9 694
050801,PAUSA, 3 354, 3 372, 3 376, 3 380, 3 385
050802,COLTA,  486,  463,  440,  417,  394
050803,CORCULLA,  466,  456,  445,  434,  423
050804,LAMPA, 2 071, 2 031, 1 983, 1 937, 1 892
050805,MARCABAMBA,  650,  636,  621,  606,  591
050806,OYOLO, 1 569, 1 610, 1 647, 1 682, 1 716
050807,PARARCA,  430,  412,  392,  373,  354
050808,SAN JAVIER DE ALPABAMBA,  305,  290,  275,  260,  246
050809,SAN JOSÉ DE USHUA,  238,  242,  247,  251,  255
050810,SARA SARA,  528,  505,  483,  460,  438
050900,SUCRE, 9 774, 9 543, 9 292, 9 131, 9 013
050901,QUEROBAMBA, 2 629, 2 618, 2 600, 2 589, 2 583
050902,BELÉN,  340,  325,  310,  300,  293
050903,CHALCOS,  499,  481,  461,  448,  439
050904,CHILCAYOC,  511,  497,  481,  471,  464
050905,HUACAÑA,  382,  365,  348,  337,  328
050906,MORCOLLA, 1 304, 1 274, 1 243, 1 223, 1 208
050907,PAICO,  570,  544,  517,  499,  486
050908,SAN PEDRO DE LARCAY,  842,  829,  814,  805,  798
050909,SAN SALVADOR DE QUIJE, 1 027,  982,  936,  906,  883
050910,SANTIAGO DE PÁUCARAY,  614,  590,  565,  549,  537
050911,SORAS, 1 056, 1 038, 1 017, 1 004,  994
051000,VÍCTOR FAJARDO, 20 709, 20 310, 19 866, 19 558, 19 318
051001,HUANCAPI, 1 963, 1 923, 1 878, 1 847, 1 823
051002,ALCAMENCA, 1 548, 1 474, 1 399, 1 345, 1 302
051003,APONGO,  641,  602,  565,  537,  516
,,,,,,Continúa…
"PERÚ: POBLACIÓN TOTAL PROYECTADA AL 30 DE JUNIO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, 2018 - 2022",,,,,,
UBIGEO,"DEPARTAMENTO, PROVINCIA Y DISTRITO",2018,2019,2020,2021,2022
,,,,,,
,,,,,,
051004,ASQUIPATA,  486,  484,  482,  481,  480
051005,CANARIA, 4 050, 4 045, 4 027, 4 018, 4 012
051006,CAYARA, 1 174, 1 158, 1 138, 1 125, 1 115
051007,COLCA, 1 055, 1 039, 1 020, 1 007,  997
051008,HUAMÁNQUIQUIA, 1 137, 1 124, 1 107, 1 096, 1 087
051009,HUANCARAYLLA, 1 322, 1 283, 1 241, 1 211, 1 188
051010,HUAYA, 2 152, 2 070, 1 985, 1 924, 1 876
051011,SARHUA, 2 693, 2 661, 2 624, 2 599, 2 579
051012,VILCANCHOS, 2 488, 2 447, 2 400, 2 368, 2 343
051100,VILCAS HUAMÁN, 18 011, 17 555, 17 063, 16 756, 16 535
051101,VILCAS HUAMÁN, 6 798, 6 663, 6 513, 6 421, 6 353
051102,ACCOMARCA,  921,  887,  851,  828,  812
051103,CARHUANCA,  861,  837,  812,  796,  785
051104,CONCEPCIÓN, 1 725, 1 642, 1 558, 1 504, 1 465
051105,HUAMBALPA, 1 402, 1 342, 1 280, 1 240, 1 212
051106,INDEPENDENCIA, 1 191, 1 144, 1 095, 1 064, 1 042
051107,SAURAMA, 1 105, 1 075, 1 042, 1 022, 1 007
051108,VISCHONGO, 4 008, 3 965, 3 912, 3 881, 3 859
,,,,,,
060000,CAJAMARCA,1 438 325,1 447 891,1 453 711,1 455 245,1 454 217
060100,CAJAMARCA, 375 029, 382 068, 388 170, 390 645, 392 571
060101,CAJAMARCA, 235 184, 240 461, 245 137, 247 044, 248 596
060102,ASUNCIÓN, 8 366, 8 137, 7 896, 7 632, 7 359
060103,CHETILLA, 3 885, 3 880, 3 863, 3 847, 3 827
060104,COSPAN, 7 266, 7 222, 7 159, 7 117, 7 069
060105,ENCAÑADA, 20 512, 20 310, 20 052, 19 735, 19 393
060106,JESÚS, 16 255, 16 483, 16 666, 16 751, 16 813
060107,LLACANORA, 6 342, 6 508, 6 657, 6 695, 6 723
060108,LOS BAÑOS DEL INCA, 49 824, 51 608, 53 298, 54 396, 55 412
060109,MAGDALENA, 8 868, 8 851, 8 809, 8 770, 8 722
060110,MATARA, 3 786, 3 795, 3 793, 3 784, 3 766
060111,NAMORA, 10 169, 10 253, 10 308, 10 364, 10 406
060112,SAN JUAN, 4 572, 4 560, 4 532, 4 510, 4 485
060200,CAJABAMBA, 81 489, 82 434, 83 167, 83 516, 83 747
060201,CAJABAMBA, 33 115, 33 715, 34 231, 34 538, 34 762
060202,CACHACHI, 25 315, 25 479, 25 575, 25 589, 25 599
060203,CONDEBAMBA, 14 929, 15 143, 15 319, 15 434, 15 519
060204,SITACOCHA, 8 130, 8 097, 8 042, 7 955, 7 867
060300,CELENDÍN, 84 423, 84 282, 83 916, 83 575, 82 965
060301,CELENDÍN, 28 346, 28 761, 29 097, 29 442, 29 695
060302,CHUMUCH, 2 758, 2 732, 2 699, 2 667, 2 626
060303,CORTEGANA, 7 449, 7 406, 7 343, 7 282, 7 197
060304,HUASMIN, 11 223, 11 069, 10 885, 10 703, 10 485
060305,JORGE CHÁVEZ,  474,  468,  461,  455,  447
060306,JOSÉ GÁLVEZ, 2 765, 2 762, 2 751, 2 740, 2 720
060307,MIGUEL IGLESIAS, 4 054, 3 993, 3 922, 3 853, 3 771
060308,OXAMARCA, 5 909, 5 874, 5 824, 5 776, 5 710
060309,SOROCHUCO, 7 833, 7 683, 7 514, 7 348, 7 158
060310,SUCRE, 5 511, 5 491, 5 455, 5 419, 5 364
060311,UTCO, 1 112, 1 097, 1 081, 1 067, 1 052
060312,LA LIBERTAD DE PALLÁN, 6 989, 6 946, 6 884, 6 823, 6 740
,,,,,,Continúa…
"PERÚ: POBLACIÓN TOTAL PROYECTADA AL 30 DE JUNIO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, 2018 - 2022",,,,,,
UBIGEO,"DEPARTAMENTO, PROVINCIA Y DISTRITO",2018,2019,2020,2021,2022
,,,,,,
,,,,,,
060400,CHOTA, 152 703, 152 413, 151 714, 151 243, 150 552
060401,CHOTA, 50 325, 50 847, 51 231, 51 686, 52 061
060402,ANGUÍA, 3 356, 3 290, 3 216, 3 147, 3 074
060403,CHADÍN, 3 697, 3 669, 3 632, 3 600, 3 563
060404,CHIGUIRIP, 3 771, 3 704, 3 628, 3 558, 3 483
060405,CHIMBAN, 2 345, 2 274, 2 201, 2 130, 2 056
060406,CHOROPAMPA, 2 439, 2 377, 2 311, 2 248, 2 182
060407,COCHABAMBA, 5 950, 5 899, 5 832, 5 774, 5 708
060408,CONCHÁN, 6 013, 5 986, 5 944, 5 911, 5 869
060409,HUAMBOS, 8 711, 8 660, 8 584, 8 522, 8 448
060410,LAJAS, 11 745, 11 681, 11 586, 11 509, 11 415
060411,LLAMA, 7 484, 7 444, 7 385, 7 337, 7 278
060412,MIRACOSTA, 3 358, 3 333, 3 300, 3 272, 3 239
060413,PACCHA, 4 697, 4 666, 4 621, 4 584, 4 540
060414,PIÓN, 1 272, 1 248, 1 222, 1 197, 1 171
060415,QUEROCOTO, 8 874, 8 863, 8 826, 8 803, 8 768
060416,SAN JUAN DE LICUPIS,  995,  988,  977,  968,  958
060417,TACABAMBA, 16 986, 16 850, 16 668, 16 513, 16 334
060418,TOCMOCHE,  896,  890,  880,  872,  864
060419,CHALAMARCA, 9 789, 9 744, 9 670, 9 612, 9 541
060500,CONTUMAZÁ, 29 594, 29 516, 29 357, 29 208, 28 964
060501,CONTUMAZÁ, 8 142, 8 111, 8 061, 8 017, 7 945
060502,CHILETE, 2 806, 2 783, 2 752, 2 721, 2 669
060503,CUPISNIQUE, 1 424, 1 415, 1 402, 1 389, 1 369
060504,GUZMANGO, 2 855, 2 854, 2 845, 2 842, 2 835
060505,SAN BENITO, 3 591, 3 605, 3 607, 3 608, 3 612
060506,SANTA CRUZ DE TOLEDO, 1 059, 1 054, 1 047, 1 040, 1 030
060507,TANTARICA, 2 628, 2 643, 2 650, 2 651, 2 653
060508,YONAN, 7 089, 7 051, 6 993, 6 940, 6 851
060600,CUTERVO, 125 818, 125 048, 123 948, 123 361, 122 594
060601,CUTERVO, 51 462, 51 440, 51 272, 51 313, 51 275
060602,CALLAYUC, 9 736, 9 694, 9 627, 9 598, 9 554
060603,CHOROS, 3 323, 3 308, 3 286, 3 277, 3 262
060604,CUJILLO, 2 616, 2 595, 2 569, 2 552, 2 532
060605,LA RAMADA, 4 077, 4 032, 3 977, 3 940, 3 897
060606,PIMPINGOS, 5 269, 5 202, 5 121, 5 063, 4 998
060607,QUEROCOTILLO, 13 843, 13 646, 13 416, 13 241, 13 051
060608,SAN ANDRÉS DE CUTERVO, 4 419, 4 353, 4 276, 4 219, 4 155
060609,SAN JUAN DE CUTERVO, 1 897, 1 878, 1 856, 1 840, 1 822
060610,SAN LUIS DE LUCMA, 3 127, 3 067, 2 999, 2 945, 2 888
060611,SANTA CRUZ, 2 747, 2 713, 2 671, 2 641, 2 608
060612,SANTO DOMINGO DE LA CAPILLA, 5 076, 5 052, 5 015, 4 999, 4 974
060613,SANTO TOMÁS, 7 695, 7 660, 7 603, 7 577, 7 541
060614,SOCOTA, 9 378, 9 279, 9 156, 9 072, 8 975
060615,TORIBIO CASANOVA, 1 153, 1 129, 1 104, 1 084, 1 062
060700,HUALGAYOC, 84 617, 84 378, 83 913, 83 473, 82 766
060701,BAMBAMARCA, 65 279, 65 077, 64 702, 64 343, 63 780
060702,CHUGUR, 3 039, 3 003, 2 959, 2 917, 2 866
060703,HUALGAYOC, 16 299, 16 298, 16 252, 16 213, 16 120
,,,,,,Continúa…
"PERÚ: POBLACIÓN TOTAL PROYECTADA AL 30 DE JUNIO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, 2018 - 2022",,,,,,
UBIGEO,"DEPARTAMENTO, PROVINCIA Y DISTRITO",2018,2019,2020,2021,2022
,,,,,,
,,,,,,
060800,JAÉN, 199 911, 202 081, 203 724, 204 729, 205 445
060801,JAÉN, 102 445, 104 361, 106 009, 107 039, 107 925
060802,BELLAVISTA, 16 212, 16 313, 16 370, 16 428, 16 464
060803,CHONTALI, 10 329, 10 374, 10 391, 10 435, 10 464
060804,COLASAY, 10 682, 10 639, 10 567, 10 498, 10 414
060805,HUABAL, 8 762, 8 887, 8 989, 9 021, 9 041
060806,LAS PIRIAS, 4 586, 4 621, 4 643, 4 660, 4 670
060807,POMAHUACA, 9 151, 9 211, 9 245, 9 278, 9 299
060808,PUCARA, 6 878, 6 873, 6 850, 6 873, 6 888
060809,SALLIQUE, 7 542, 7 536, 7 509, 7 509, 7 502
060810,SAN FELIPE, 4 868, 4 809, 4 740, 4 662, 4 577
060811,SAN JOSÉ DEL ALTO, 7 847, 7 959, 8 050, 8 114, 8 151
060812,SANTA ROSA, 10 609, 10 498, 10 361, 10 212, 10 050
060900,SAN IGNACIO, 143 012, 144 580, 145 770, 146 477, 146 978
060901,SAN IGNACIO, 38 745, 39 506, 40 171, 40 710, 41 202
060902,CHIRINOS, 15 530, 15 773, 15 974, 16 121, 16 246
